# CME FedWatch aggregated view, snapshot 2026-09-15 01:57 CT. Cumulative target
# range probabilities: what the curve prices the rate to BE at each meeting.
meeting,350-375,375-400,400-425,425-450,450-475
2026-09-16,0.0771,0.9229,0.0000,0.0000,0.0000
2026-10-28,0.0000,0.5900,0.4100,0.0000,0.0000
2026-12-09,0.0000,0.0000,0.8974,0.1026,0.0000
2027-01-27,0.0000,0.0000,0.5300,0.4700,0.0000
2027-03-17,0.0000,0.0000,0.0000,0.9486,0.0514
2027-04-28,0.0000,0.0000,0.0000,0.6700,0.3300
2027-06-09,0.0000,0.0000,0.0000,0.3429,0.6571
2027-07-28,0.0000,0.0000,0.0000,0.2100,0.7900
2027-09-15,0.0000,0.0000,0.0000,0.1300,0.8700
2027-10-27,0.0000,0.0000,0.0000,0.1300,0.8700
2027-12-08,0.0000,0.0000,0.0000,0.2109,0.7891
